# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
cs_CZ,Czech,instruction_following,736,5.9022,5.8492,0.0530,0.8356,0.0190,0.0068,0.9742,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,5.5965,5.3383,0.2582,0.9946,0.0965,0.0340,0.8696,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,6.6658,5.6848,0.9810,1.0842,0.0082,0.0000,0.9918,0.0707,0.3057,0.6236
en_US,English,instruction_following,736,6.6997,6.4389,0.2609,0.6005,0.0000,0.0000,1.0000,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9090,6.2310,0.6780,0.7840,0.0014,0.0014,0.9973,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.7636,6.3560,0.4076,0.6712,0.0027,0.0000,0.9973,0.0109,0.1562,0.8329

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
cs_CZ,Czech,instruction_following,1,11,3.0000,-2.0000,↑  zvýšit  (LLM o -2.00 pod lidmi)
cs_CZ,Czech,instruction_following,2,3,4.0000,-2.0000,↑  zvýšit  (LLM o -2.00 pod lidmi)
cs_CZ,Czech,instruction_following,3,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,instruction_following,5,5,3.2000,1.8000,↓  snížit  (LLM o +1.80 nad lidmi)
cs_CZ,Czech,instruction_following,6,717,5.9191,0.0809,OK
cs_CZ,Czech,instruction_following,7,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,naturalness,1,6,2.5000,-1.5000,↑  zvýšit  (LLM o -1.50 pod lidmi)
cs_CZ,Czech,naturalness,2,47,3.6170,-1.6170,↑  zvýšit  (LLM o -1.62 pod lidmi)
cs_CZ,Czech,naturalness,3,18,4.2778,-1.2778,↑  zvýšit  (LLM o -1.28 pod lidmi)
cs_CZ,Czech,naturalness,4,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,naturalness,5,25,3.8800,1.1200,↓  snížit  (LLM o +1.12 nad lidmi)
cs_CZ,Czech,naturalness,6,640,5.5781,0.4219,↓  snížit  (LLM o +0.42 nad lidmi)
cs_CZ,Czech,naturalness,7,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,coherence,1,2,2.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
cs_CZ,Czech,coherence,2,4,2.0000,0.0000,OK
cs_CZ,Czech,coherence,3,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,coherence,5,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,coherence,6,214,4.8178,1.1822,↓  snížit  (LLM o +1.18 nad lidmi)
cs_CZ,Czech,coherence,7,516,6.0872,0.9128,↓  snížit  (LLM o +0.91 nad lidmi)
en_US,English,instruction_following,1,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,3,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,6,221,6.2443,-0.2443,OK
en_US,English,instruction_following,7,515,6.5223,0.4777,↓  snížit  (LLM o +0.48 nad lidmi)
en_US,English,naturalness,1,1,6.0000,-5.0000,↑  zvýšit  (LLM o -5.00 pod lidmi)
en_US,English,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,3,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,4,1,3.0000,1.0000,↓  snížit  (LLM o +1.00 nad lidmi)
en_US,English,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,6,58,6.2414,-0.2414,OK
en_US,English,naturalness,7,676,6.2352,0.7648,↓  snížit  (LLM o +0.76 nad lidmi)
en_US,English,coherence,1,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,3,2,4.5000,-1.5000,↑  zvýšit  (LLM o -1.50 pod lidmi)
en_US,English,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,6,166,6.3554,-0.3554,↑  zvýšit  (LLM o -0.36 pod lidmi)
en_US,English,coherence,7,568,6.3627,0.6373,↓  snížit  (LLM o +0.64 nad lidmi)
