Language,Criterion,N,Mean,Median,Std,Q1,Q3,% score≤3,% score≥5,Mode
Arabic,coherence,736,5.591,6.0,1.901,5.0,7.0,14.5,81.1,7
Arabic,naturalness,736,3.155,2.0,2.354,1.0,5.0,57.7,38.2,1
Arabic,instruction_following,736,5.814,7.0,1.873,5.0,7.0,12.8,84.9,7
Bengali,coherence,736,3.418,3.0,1.446,3.0,4.0,50.8,19.7,4
Bengali,naturalness,736,3.662,4.0,1.495,3.0,5.0,41.3,30.4,4
Bengali,instruction_following,736,4.189,4.0,1.48,3.0,5.0,26.8,48.0,5
Chinese,coherence,736,6.125,7.0,1.297,5.0,7.0,7.3,92.4,7
Chinese,naturalness,736,6.062,7.0,1.09,5.0,7.0,3.7,96.3,7
Chinese,instruction_following,736,5.978,7.0,1.427,5.0,7.0,9.8,89.5,7
Czech,coherence,736,5.685,6.0,1.363,5.0,7.0,7.1,85.2,7
Czech,naturalness,736,5.338,6.0,1.403,5.0,6.0,10.1,79.2,6
Czech,instruction_following,736,5.849,6.0,1.269,5.0,7.0,4.9,90.6,7
English,coherence,736,6.356,7.0,0.897,6.0,7.0,1.1,96.2,7
English,naturalness,736,6.231,7.0,0.992,5.0,7.0,0.7,94.8,7
English,instruction_following,736,6.439,7.0,0.847,6.0,7.0,1.2,97.0,7
German,coherence,736,6.577,7.0,0.763,6.0,7.0,0.7,97.6,7
German,naturalness,736,6.064,6.0,1.151,5.0,7.0,2.7,90.9,7
German,instruction_following,736,6.322,7.0,1.08,6.0,7.0,2.3,94.2,7
Hindi,coherence,736,5.954,7.0,1.29,5.0,7.0,4.1,92.5,7
Hindi,naturalness,736,5.607,6.0,1.373,5.0,7.0,7.6,86.1,7
Hindi,instruction_following,736,5.855,6.0,1.335,5.0,7.0,5.0,90.6,7
Indonesian,coherence,736,5.992,7.0,1.287,5.0,7.0,5.8,89.5,7
Indonesian,naturalness,736,5.898,6.0,1.29,5.0,7.0,5.7,86.1,7
Indonesian,instruction_following,736,6.167,7.0,1.415,6.0,7.0,8.6,87.4,7
Japanese,coherence,736,5.731,7.0,1.683,5.0,7.0,13.3,77.6,7
Japanese,naturalness,736,5.615,7.0,1.787,5.0,7.0,15.8,76.0,7
Japanese,instruction_following,736,5.602,6.0,1.507,5.0,7.0,11.1,76.9,7
Russian,coherence,736,6.473,7.0,1.096,7.0,7.0,2.7,94.6,7
Russian,naturalness,736,5.842,6.0,1.385,5.0,7.0,7.6,86.8,7
Russian,instruction_following,736,6.485,7.0,1.104,7.0,7.0,4.1,94.0,7
