judge_model_name,criterion,locale,original_instance_id_with_locale,acc_eq_prompt
AyaExpanse-32B,coherence,ar_EG,0a3da1ceeb83f664b813bb28f001d766_with_ar_EG,0.775
AyaExpanse-32B,coherence,ar_EG,104373856e995a074579797ebe34fcb2_with_ar_EG,1.0
AyaExpanse-32B,coherence,ar_EG,12f396cdef01341d9b307c7048b8d77a_with_ar_EG,0.39166666666666666
AyaExpanse-32B,coherence,ar_EG,13ae1b97872d056d111cbf8dfd1617c2_with_ar_EG,0.45
AyaExpanse-32B,coherence,ar_EG,14e076d13751e87d8c09f7f13125e755_with_ar_EG,0.5833333333333334
AyaExpanse-32B,coherence,ar_EG,169c53c4e9f905b5a1579bb2c89f80b4_with_ar_EG,0.375
AyaExpanse-32B,coherence,ar_EG,170d490a7ae53347e8fe3eabe4e28001_with_ar_EG,0.6916666666666667
AyaExpanse-32B,coherence,ar_EG,177682e7e6b3b0b5e4ad47b2fcaa4451_with_ar_EG,0.44166666666666665
AyaExpanse-32B,coherence,ar_EG,22645d3694ea307a2d88a0b1669a4550_with_ar_EG,0.5833333333333334
AyaExpanse-32B,coherence,ar_EG,24223944994a18d516282ccef47ac54d_with_ar_EG,0.375
AyaExpanse-32B,coherence,ar_EG,25206396b6f90a56a632de9594cfa279_with_ar_EG,1.0
AyaExpanse-32B,coherence,ar_EG,34ff7b0c7d176187b5f56965bc072870_with_ar_EG,0.7583333333333333
AyaExpanse-32B,coherence,ar_EG,362fcdcfe450161abe0dfc24f108c8a9_with_ar_EG,0.45
AyaExpanse-32B,coherence,ar_EG,38b0d67f9db7712c2c589f4ced8943f1_with_ar_EG,0.6333333333333333
AyaExpanse-32B,coherence,ar_EG,44ea53138d50a0f07b1fb8d5fa927a6d_with_ar_EG,0.4
AyaExpanse-32B,coherence,ar_EG,453dbf627af720e73ca10e171bd55725_with_ar_EG,0.35833333333333334
AyaExpanse-32B,coherence,ar_EG,619fdd90dcf02a109782351e726f434d_with_ar_EG,0.49166666666666664
AyaExpanse-32B,coherence,ar_EG,63d411be4c5a409e108fbdce6e3f8689_with_ar_EG,0.7833333333333333
AyaExpanse-32B,coherence,ar_EG,6caeb46fd20a0b0f5a9f74da715d8b77_with_ar_EG,0.375
AyaExpanse-32B,coherence,ar_EG,729ece24c8d479efaf9f43a78bcdf42f_with_ar_EG,0.525
AyaExpanse-32B,coherence,ar_EG,7a80c8edbaf9cffb15d2a71bb2427672_with_ar_EG,0.575
AyaExpanse-32B,coherence,ar_EG,7ce9fab7d8a5d11cac47de7ded5fb87c_with_ar_EG,0.49166666666666664
AyaExpanse-32B,coherence,ar_EG,9071b005524e4661f6718fe829648c22_with_ar_EG,0.5333333333333333
AyaExpanse-32B,coherence,ar_EG,941c034555e30f65555a5ce841836317_with_ar_EG,0.5166666666666667
AyaExpanse-32B,coherence,ar_EG,95641032115fac92e1ea4efa811faae8_with_ar_EG,0.5833333333333334
AyaExpanse-32B,coherence,ar_EG,9721721aee5763207020928a6be3d9b1_with_ar_EG,0.8833333333333333
AyaExpanse-32B,coherence,ar_EG,a87d8ce85c5e14f8054f86aaa36f49ad_with_ar_EG,0.24166666666666667
AyaExpanse-32B,coherence,ar_EG,a8de3aee209e73291020dfca4bc9547d_with_ar_EG,0.5
AyaExpanse-32B,coherence,ar_EG,aec42313c4c01a4d1e2240d54ab41992_with_ar_EG,0.8833333333333333
AyaExpanse-32B,coherence,ar_EG,b15d69d9ac2994c645e9c261a9036af5_with_ar_EG,0.775
AyaExpanse-32B,coherence,ar_EG,b400d942abc879906d5d2e7cbf1445b5_with_ar_EG,0.425
AyaExpanse-32B,coherence,ar_EG,b9b10ffcbee1477b164fd32d4ef7fb40_with_ar_EG,0.475
AyaExpanse-32B,coherence,ar_EG,c145f96bc4b6c5d0d18e06e89cb629bd_with_ar_EG,0.6333333333333333
AyaExpanse-32B,coherence,ar_EG,c78e58efb81dc261314dbe9683046b8a_with_ar_EG,0.675
AyaExpanse-32B,coherence,ar_EG,cb75a2b7d6041b0ce85ec4218fe2f5e0_with_ar_EG,0.35
AyaExpanse-32B,coherence,ar_EG,d48c3ed115b970b0947d892881d35aa9_with_ar_EG,0.775
